gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
0610007P14Rik,770.606917673557,-0.10177634779465987,0.1651599338104275,0.5269546489851511,0.658114142273305
0610009B22Rik,349.43914500083696,0.09684878829333185,0.19253873078298775,0.6043259453040627,0.72249132923532
0610009L18Rik,33.458244343010314,0.6061043821247705,0.46866391316604905,0.11502845002534487,0.22041772782129904
0610009O20Rik,703.5261215443024,0.6793528511917365,0.17075806081751252,4.474363999079692e-5,3.1301905272921714e-4
0610010F05Rik,506.96467048502757,0.34786699128178616,0.1585480678425947,0.02492247985189088,0.0662625760209021
0610010K14Rik,387.4790629051658,-0.2054052287245665,0.2553976775741854,0.39130185159920333,0.5374033982729111
0610012G03Rik,809.6409499558285,0.3668501258447981,0.3019200962741228,0.18775067015613828,0.31548776015771524
0610030E20Rik,910.9225487347405,0.297365725163382,0.15451011912640367,0.04955742985271787,0.11443664809979893
0610037L13Rik,347.70696846703686,-0.544553078454094,0.20314548887207604,0.005190882655009645,0.017978832023400344
0610038B21Rik,16.81486543846536,-0.149554876459178,0.40609164513096363,0.6628584209638602,0.7670011393072909
0610039K10Rik,10.67041800108412,1.6397846479625207,0.5283278813710921,3.2209591760586163e-4,0.0017301821435904683
0610040B10Rik,30.949776544038176,0.7475657716294986,0.5321778673075617,0.0740814925159487,0.15666883427997055
0610040F04Rik,79.37933958791061,0.8993788126306359,0.4899086364142284,0.02655257192638032,0.06953281200079597
0610040J01Rik,929.3639372775148,0.5353624038155215,0.47189317071808096,0.16546314901977685,0.2870826447404444
1110002L01Rik,194.7203018786917,-0.11896564469030703,0.22587221480683206,0.580263046865992,0.7042101321314849
1110004E09Rik,437.5109791227786,-0.0102162848182425,0.24168941046595704,0.9614318342100392,0.975363715057393
1110004F10Rik,707.7806554815745,-0.12558457203006193,0.08027687697643446,0.1155068165670774,0.22100141814507465
1110006O24Rik,18.18348470125243,0.4625177638627343,0.37354141161900567,0.15828028274183495,0.2781485054321182
1110008F13Rik,2401.118717604089,0.3151317452437232,0.25041215586875254,0.18114663290103722,0.30708033752744107
1110008L16Rik,374.6407578092308,0.3598603063767724,0.2643609698474622,0.14768249781269618,0.26456049693052974
1110008P14Rik,2013.4935823578155,1.7709325368993059,0.5191567620792226,1.1037090373147656e-4,6.931130994665465e-4
1110012L19Rik,311.90068606000705,0.10545153541289591,0.24743742842620564,0.6544993744575809,0.7607054861771906
