genes	PT_Myc_PTEN_MGT_b1_TPM	PT_Myc_PTEN_MGT_b2_TPM	PT_Myc_PTEN_MGT_b3_TPM	PT_Myc_PTEN_MGT_b4_TPM	PT_Myc_PTEN_MGT_b5_TPM	PT_Myc_PTEN_MGT_b6_TPM	PT_Myc_PTEN_MGT_b7_TPM	PT_Myc_PTEN_MGT_b8_TPM	PT_Myc_PTEN_MGT_b9_TPM	PT_Myc_PTEN_MGT_b10_TPM	PT_Myc_PTEN_MGT_b11_TPM	PT_Myc_PTEN_MGT_b12_TPM	PT_Myc_PTEN_MGT_b13_TPM
Aplnr	8.298837831	32.13832334	29.30488806	35.84065246	13.76960694	18.80576551	6.179884065	5.643436401	2.9203859	39.76862613	6.087131196	1.89067011	2.000644207
Aplp1	11.61837296	14.06051646	23.44391044	17.92032623	13.76960694	13.67692037	28.83945897	20.69260014	14.6019295	25.84960699	4.058087464	20.79737121	34.01095153
Aplp2	356.8500267	500.152657	662.2904701	597.3442077	363.9110405	333.374934	352.2533917	316.0324385	156.2406456	538.8648841	196.817242	344.1019601	436.1404372
Apmap	104.5653567	62.26800148	76.19270894	93.58392587	68.84803468	145.3172789	142.1373335	139.2047646	110.9746642	69.59509573	48.69704957	170.1603099	146.0470271
Apoa1	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoa1bp	147.7193134	72.31122752	105.497597	109.5131047	98.35433526	213.7018807	170.9767925	180.5899648	258.4541521	101.4099966	103.4812303	164.4882996	166.0534692
Apoa2	3.319535132	6.025935627	3.907318407	5.973442077	7.868346821	5.128845138	6.179884065	3.762290934	5.8407718	5.96529392	6.087131196	5.672010331	4.001288415
Apoa4	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoa5	0	0	0	0	0	0	0	0	0	0	0	0	0
Apob	0	0	0	0	0	0	0	0	0	0	0	0	0
Apobec1	53.11256212	92.39767961	68.37807213	113.4953995	84.58472833	35.90191597	26.77949762	16.9303092	10.22135065	97.43313403	50.7260933	24.57871143	32.01030732
Apobec2	14.9379081	0	1.953659204	3.982294718	3.93417341	1.709615046	0	0	0	5.96529392	0	0	0
Apobec3	41.49418915	42.18154939	44.93416168	59.73442077	31.47338728	49.57883633	74.15860878	65.84009135	29.203859	45.73392005	32.46469971	54.8294332	76.02447988
Apobec4	0	0	0	0	0	0	0	0	0	0	0	0	0
Apobr	16.59767566	84.36309878	93.77564178	47.78753661	41.30882081	6.838460184	12.35976813	7.524581868	4.38057885	85.50254619	75.07461808	5.672010331	10.00322104
Apoc1	275.521416	30.12967813	31.25854726	87.61048379	159.3340231	157.2845842	191.576406	173.065383	64.2484898	55.67607659	2.029043732	279.8191763	4.001288415
Apoc2	9.958605397	30.12967813	23.44391044	9.955736794	5.901260116	10.25769028	4.11992271	5.643436401	5.8407718	23.86117568	12.17426239	1.89067011	2.000644207
Apoc3	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoc4	1.659767566	2.008645209	1.953659204	1.991147359	9.835433526	1.709615046	0	0	1.46019295	1.988431307	0	0	0
Apoc4-apoc2	9.958605397	34.14696855	25.39756965	11.94688415	7.868346821	11.96730532	4.11992271	5.643436401	7.300964749	25.84960699	14.20330612	1.89067011	4.001288415
Apod	126.142335	32.13832334	52.7487985	93.58392587	72.78220809	54.70768147	26.77949762	79.00810962	5.8407718	63.62980181	34.49374344	13.23469077	576.1855317
Apoe	4431.579402	3081.261751	3686.554917	2974.774154	3043.083133	2299.432237	780.7253536	949.9784609	1390.103688	4959.147679	2002.666163	960.460416	1502.4838
Apof	0	0	0	0	0	1.709615046	2.059961355	3.762290934	1.46019295	0	0	3.78134022	2.000644207
Apoh	0	0	0	0	0	0	0	1.881145467	0	0	0	0	14.00450945
Apol10a	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol10b	1.659767566	4.017290418	3.907318407	3.982294718	0	1.709615046	4.11992271	1.881145467	0	3.976862613	20.29043732	1.89067011	0
Apol11a	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol11b	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol6	8.298837831	2.008645209	1.953659204	5.973442077	3.93417341	6.838460184	4.11992271	7.524581868	4.38057885	5.96529392	0	5.672010331	14.00450945
Apol7a	56.43209725	12.05187125	11.72195522	13.93803151	19.67086705	17.09615046	8.23984542	16.9303092	16.06212245	11.93058784	4.058087464	52.93876309	28.0090189
Apol7b	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol7c	0	0	1.953659204	0	0	0	0	0	0	0	0	0	0
Apol7d	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol7e	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol8	0	2.008645209	0	1.991147359	0	0	0	1.881145467	0	0	0	0	0
Apol9a	13.27814053	24.10374251	11.72195522	15.92917887	5.901260116	6.838460184	53.55899523	126.0367463	10.22135065	9.942156533	12.17426239	77.51747452	102.0328546
Apol9b	8.298837831	28.12103293	13.67561443	23.89376831	5.901260116	5.128845138	35.01934304	88.41383695	5.8407718	13.91901915	10.14521866	49.15742287	72.02319147
Apold1	1.659767566	16.06916167	11.72195522	7.964589435	11.80252023	5.128845138	8.23984542	1.881145467	2.9203859	9.942156533	10.14521866	5.672010331	4.001288415
Apom	0	0	0	0	0	0	0	0	1.46019295	1.988431307	0	1.89067011	0
Apon	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoo	3.319535132	2.008645209	1.953659204	0	1.967086705	1.709615046	2.059961355	1.881145467	1.46019295	0	0	3.78134022	2.000644207
Apool	73.02977291	28.12103293	31.25854726	41.81409454	37.3746474	64.96537175	45.31914981	43.26634574	42.34559555	35.79176352	30.43565598	39.70407231	34.01095153
Apoo-ps	0	0	0	0	0	0	0	0	0	0	0	0	0
Apopt1	63.07116751	40.17290418	44.93416168	51.76983133	43.27590752	56.41729652	51.49903388	54.55321855	65.70868275	39.76862613	54.78418076	60.50144353	58.01868202
App	401.663751	504.1699475	523.5806666	581.4150288	531.1134104	442.7902969	630.3481747	549.2944764	201.5066271	614.4252738	509.2899767	542.6223216	896.2886049
Appbp2	16.59767566	46.19883981	35.16586567	37.83179982	27.53921387	18.80576551	39.13926575	26.33603654	13.14173655	37.78019483	38.55183091	39.70407231	36.01159573
Appbp2os	0	2.008645209	1.953659204	1.991147359	0	1.709615046	2.059961355	1.881145467	0	1.988431307	0	0	2.000644207
Appl1	14.9379081	22.0950973	19.53659204	21.90262095	23.60504046	10.25769028	16.47969084	11.2868728	5.8407718	17.89588176	24.34852478	13.23469077	12.00386524
Appl2	127.8021026	74.31987273	85.96100496	95.57507322	80.65055492	95.73844257	234.8355945	135.4424736	96.37273469	79.53725227	99.42314287	147.4722686	150.0483156
Aprt	288.7995565	694.9912423	494.2757785	430.0878295	310.7996994	244.4749516	203.9361742	299.1021293	273.0560816	451.3739066	730.4557435	177.7229904	190.0611997
Aptx	9.958605397	8.034580836	9.768296018	11.94688415	9.835433526	11.96730532	6.179884065	11.2868728	8.761157699	7.953725227	8.116174928	7.562680441	10.00322104
Aqp1	41.49418915	138.5965194	111.3585746	123.4511362	186.873237	83.77113725	63.85880201	24.45489107	27.74366605	115.3290158	769.0075744	26.46938154	56.01803781
Aqp11	3.319535132	4.017290418	1.953659204	1.991147359	0	5.128845138	4.11992271	5.643436401	2.9203859	5.96529392	2.029043732	7.562680441	4.001288415
Aqp12	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp2	3.319535132	44.1901946	17.58293283	31.85835774	5.901260116	3.419230092	6.179884065	3.762290934	1.46019295	55.67607659	2.029043732	3.78134022	2.000644207
Aqp3	11.61837296	437.8846556	302.8171766	183.185557	137.6960694	3.419230092	0	1.881145467	0	149.132348	6.087131196	3.78134022	0
Aqp4	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp5	229.0479241	142.6138098	238.3464228	213.0527674	239.984578	1596.780453	4902.708025	4161.093773	4535.359302	258.4960699	87.24888048	3259.51527	2746.884497
Aqp6	0	0	0	0	0	1.709615046	0	0	1.46019295	0	0	3.78134022	0
Aqp7	1.659767566	0	0	1.991147359	0	0	0	0	0	0	0	0	0
Aqp8	3.319535132	0	0	0	0	0	0	0	0	0	0	0	0
Aqp9	6.639070265	6.025935627	7.814636815	5.973442077	15.73669364	1.709615046	0	0	0	5.96529392	2.029043732	0	2.000644207
Aqr	13.27814053	42.18154939	23.44391044	33.8495051	27.53921387	15.38653541	35.01934304	35.74176387	10.22135065	27.83803829	30.43565598	37.8134022	40.01288415
Ar	3.319535132	2.008645209	3.907318407	1.991147359	1.967086705	1.709615046	2.059961355	1.881145467	1.46019295	1.988431307	4.058087464	1.89067011	2.000644207
Araf	89.62744857	64.27664669	76.19270894	85.61933643	72.78220809	90.60959744	105.0580291	120.3933099	119.7358219	81.52568357	54.78418076	107.7681963	104.0334988
Arap1	48.13325942	56.24206585	62.51709452	51.76983133	59.01260116	44.4499912	53.55899523	50.79092761	36.50482375	63.62980181	44.6389621	30.25072176	56.01803781
Arap2	6.639070265	22.0950973	19.53659204	19.91147359	13.76960694	6.838460184	8.23984542	7.524581868	1.46019295	17.89588176	4.058087464	11.34402066	16.00515366
Arap3	4.979302698	18.07780688	13.67561443	11.94688415	13.76960694	5.128845138	4.11992271	3.762290934	1.46019295	15.90745045	16.23234986	3.78134022	4.001288415
Arc	18.25744323	18.07780688	31.25854726	29.86721038	11.80252023	6.838460184	6.179884065	3.762290934	1.46019295	41.75705744	10.14521866	13.23469077	2.000644207
Arcn1	86.30791344	128.5532934	123.0805298	127.433431	127.8606358	121.3826683	195.6963287	156.1350738	80.31061224	111.3521532	146.0911487	179.6136605	156.0502482
Areg	48.13325942	134.579229	199.2732388	117.4776942	9.835433526	11.96730532	2.059961355	5.643436401	1.46019295	83.51411488	123.7716677	22.68804132	4.001288415
Arel1	16.59767566	40.17290418	25.39756965	27.87606302	25.57212717	18.80576551	37.07930439	43.26634574	11.6815436	29.8264696	28.40661225	37.8134022	50.01610519
