Cells,B220_Bcells,CD4_Tcells,CD8_Tcells,CD11c_MHC_DCs,F480_macrophages,Ly6G_granulocytes,PanCK_Neoplastic cells
SR_W001,0.48810038,1.850340492,1.559128016,0.900684257,2.403278022,0.974974229,3.536552657
SR_W580,0.30889918,1.458393283,1.456421283,1.160380847,2.512466168,2.028987854,3.433717534
SR_W585,0.308488239,1.395730048,1.113838498,0.586100203,1.790727534,2.607732803,3.365427932
SR_W590,0.765673246,1.379443069,1.645214914,1.303579476,1.72194249,1.723431698,2.92829692
SP_W708,0.431232234,1.681489033,1.383681872,0.365409754,2.347801727,1.476466951,3.497660477
SP_W711,-0.174881247,0.815744838,0.46431411,-0.042730041,1.454104112,0.726514473,3.785856993
SP_W715,0.089997389,0.852256944,0.288579314,-0.512190051,1.313486923,-0.336608959,3.803887632
SP_W724,0.386818472,1.000852162,0.170332162,0.170332162,0.612644083,0.196193973,3.794310749
